rcasiteid,samp,upedon,TOP,BOT,Bulkdensity,SOC_pred1,Texture,fragvolc,c_tot_ncs,n_tot_ncs,s_tot_ncs,caco3,SOCstock5,SOCstock30,SOCstock100,Land_Use,lon,lat,geometry
C0104F07,C0104F071-5,C0104F071,39,50,0.66483658,6.060303747,sil,0.0,5.86519781,0.34937099,0.031761,0.254949,159.78853441655,624.8301230048,170.74446555211804,Forestland,-124.26,47.74,POINT (-124.26 47.74)
C0104F07,C0104F071-6,C0104F071,50,59,1.321323647,1.21674819,sil,0.0,2.18012068,0.21905519,0.0573716,0.297732,159.78853441655,624.8301230048,170.74446555211804,Forestland,-124.26,47.74,POINT (-124.26 47.74)
C0104F07,C0104F071-7,C0104F071,59,100,1.284702746,1.99297557,None,0.0,7.094038858103031,0.27320360773939395,0.0181003231030303,2.4208391408250356,159.78853441655,624.8301230048,170.74446555211804,Forestland,-124.26,47.74,POINT (-124.26 47.74)
C0105F09,C0105F091-1,C0105F091,0,4,0.945663129,44.66,PM,0.0,43.54104969,1.0702326,0.05915308,2.4208391408250356,126.715174299415,239.092479029024,470.86369648596,Forestland,-124.18,47.66,POINT (-124.18 47.66)
C0105F09,C0105F091-2,C0105F091,4,10,0.48444797,16.71138064,sil,5.0,13.32653593,0.64276925,0.05223166,0.326517,126.715174299415,239.092479029024,470.86369648596,Forestland,-124.18,47.66,POINT (-124.18 47.66)
C0105F09,C0105F091-3,C0105F091,10,28,0.822311307,7.734864526,sil,5.0,5.38551928,0.2962771,0.01050628,0.309014,126.715174299415,239.092479029024,470.86369648596,Forestland,-124.18,47.66,POINT (-124.18 47.66)
C0105F09,C0105F091-4,C0105F091,28,50,0.658754937,8.265636764,sil,10.0,5.59358076,0.27216559,0.01050832,0.269966,126.715174299415,239.092479029024,470.86369648596,Forestland,-124.18,47.66,POINT (-124.18 47.66)
C0105F09,C0105F091-5,C0105F091,50,100,1.35465695,2.093202823,sil,5.0,2.83131933,0.1509343,0.00624556,2.4208391408250356,126.715174299415,239.092479029024,470.86369648596,Forestland,-124.18,47.66,POINT (-124.18 47.66)
C0108F05,C0108F051-1,C0108F051,0,7,0.884497118,45.65,PM,0.0,45.65221786,0.77576647,0.02840835,2.4208391408250356,154.618495448762,750.672584246585,170.74446555211804,Forestland,-124.12,47.18,POINT (-124.12 47.18)
C0108F05,C0108F051-2,C0108F051,7,18,1.077064608,47.11,PM,0.0,47.10800802,1.2637005,0.06202211,0.013725,154.618495448762,750.672584246585,170.74446555211804,Forestland,-124.12,47.18,POINT (-124.12 47.18)
C0108F05,C0108F051-3,C0108F051,18,23,1.26017677,14.19216832,sil,0.0,24.31359185,1.11527295,0.10799863,2.4208391408250356,154.618495448762,750.672584246585,170.74446555211804,Forestland,-124.12,47.18,POINT (-124.12 47.18)
C0108F05,C0108F051-4,C0108F051,23,43,0.473246755,9.033668583,sil,0.0,16.00566914,0.74029916,0.04752277,2.4208391408250356,154.618495448762,750.672584246585,170.74446555211804,Forestland,-124.12,47.18,POINT (-124.12 47.18)
C0108F05,C0108F051-5,C0108F051,43,50,0.735156932,6.177981918,sicl,0.0,6.16194159,0.34332167,0.03044749,0.017682,154.618495448762,750.672584246585,170.74446555211804,Forestland,-124.12,47.18,POINT (-124.12 47.18)
C0108F05,C0108F051-6,C0108F051,50,80,1.300323372,2.342031768,sicl,0.0,3.00685864,0.13368458,0.04699849,-0.012749,154.618495448762,750.672584246585,170.74446555211804,Forestland,-124.12,47.18,POINT (-124.12 47.18)
C0108F05,C0108F051-7,C0108F051,80,100,1.272869071,0.636182074,None,0.0,7.094038858103031,0.27320360773939395,0.0181003231030303,2.4208391408250356,154.618495448762,750.672584246585,170.74446555211804,Forestland,-124.12,47.18,POINT (-124.12 47.18)
C0209P03,C0209P031-1,C0209P031,0,7,0.919408484,4.048505174,None,0.0,2.512406,0.24718833,0.0,6.710028539781591,16.71137268606,64.1236733989007,164.185273974668,Pastureland,-124.1,41.82,POINT (-124.1 41.82)
C0209P03,C0209P031-2,C0209P031,7,17,0.919408484,4.048505174,None,0.0,1.73256239,0.17923059,0.0,6.710028539781591,16.71137268606,64.1236733989007,164.185273974668,Pastureland,-124.1,41.82,POINT (-124.1 41.82)
C0209P03,C0209P031-3,C0209P031,17,50,1.036559824,4.848938806,None,0.0,1.01700656,0.11828009,0.0,6.710028539781591,16.71137268606,64.1236733989007,164.185273974668,Pastureland,-124.1,41.82,POINT (-124.1 41.82)
C0209P03,C0209P031-4,C0209P031,50,80,1.277301674,5.960197476,None,0.0,1.1497474,0.1233678,0.0,6.710028539781591,16.71137268606,64.1236733989007,164.185273974668,Pastureland,-124.1,41.82,POINT (-124.1 41.82)
C0209P03,C0209P031-5,C0209P031,80,115,1.229319785,4.867558917,None,0.0,1.02654041,0.08992332,0.0,6.710028539781591,16.71137268606,64.1236733989007,164.185273974668,Pastureland,-124.1,41.82,POINT (-124.1 41.82)
C0209P03,C0209P031-6,C0209P031,115,160,1.287677076,2.423651907,None,0.0,2.5822084404162537,0.2097241602477701,0.05629034087215065,6.710028539781591,16.71137268606,64.1236733989007,164.185273974668,Pastureland,-124.1,41.82,POINT (-124.1 41.82)
C0215F04,C0215F041-1,C0215F041,0,3,0.986138629,5.251928761,PM,0.0,32.83341271,0.60601645,0.0,2.4208391408250356,69.9617774833127,110.455247515835,162.122621352823,Forestland,-124.06,41.87,POINT (-124.06 41.87)
C0215F04,C0215F041-2,C0215F041,3,10,0.775127052,2.595264549,cl,2.0,2.30929322,0.08747323,0.00411639,2.4208391408250356,69.9617774833127,110.455247515835,162.122621352823,Forestland,-124.06,41.87,POINT (-124.06 41.87)
C0215F04,C0215F041-3,C0215F041,10,35,1.003954856,3.18328499,cl,2.0,1.61211876,0.0588666,0.00826198,2.4208391408250356,69.9617774833127,110.455247515835,162.122621352823,Forestland,-124.06,41.87,POINT (-124.06 41.87)
C0215F04,C0215F041-4,C0215F041,35,80,1.074929194,3.382660109,c,5.0,0.68363837,0.0497946,0.02593469,2.4208391408250356,69.9617774833127,110.455247515835,162.122621352823,Forestland,-124.06,41.87,POINT (-124.06 41.87)
C0215F04,C0215F041-5,C0215F041,80,100,1.319458949,3.290711829,c,10.0,0.53935522,0.04771219,0.02800498,2.4208391408250356,69.9617774833127,110.455247515835,162.122621352823,Forestland,-124.06,41.87,POINT (-124.06 41.87)
F0117F01,F0117F011-1,F0117F011,0,4,0.915439535,33.44,PM,0.0,33.43923228,0.69653695,0.0,2.4208391408250356,105.893247939807,175.104393261477,217.881572560069,Forestland,-124.04,48.11,POINT (-124.04 48.11)
F0117F01,F0117F011-2,F0117F011,4,8,1.01371368,7.546236628,l,15.0,18.09257475,0.52513359,0.01670405,2.4208391408250356,105.893247939807,175.104393261477,217.881572560069,Forestland,-124.04,48.11,POINT (-124.04 48.11)
F0117F01,F0117F011-3,F0117F011,8,16,0.5150084,2.655619512,l,55.0,3.6450729,0.18456065,0.0194814,2.4208391408250356,105.893247939807,175.104393261477,217.881572560069,Forestland,-124.04,48.11,POINT (-124.04 48.11)
F0117F01,F0117F011-4,F0117F011,16,50,0.493201993,2.306255833,l,55.0,2.91636092,0.21919015,0.01852311,2.4208391408250356,105.893247939807,175.104393261477,217.881572560069,Forestland,-124.04,48.11,POINT (-124.04 48.11)
F0117F01,F0117F011-5,F0117F011,50,100,1.361616615,1.718868557,l,75.0,1.88315536,0.15126986,0.01440665,2.4208391408250356,105.893247939807,175.104393261477,217.881572560069,Forestland,-124.04,48.11,POINT (-124.04 48.11)
